"meterid","sitename","simscode","utility","readingtime","readingvalue","readingunits","year","month","day"
"247516","Ohio Stadium","082","HEAT","2025-03-01T05:00:00","242.62324295096641","kWh","2025","03","01"
"246213","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:00:00","21.496895999455205","kWh","2025","03","01"
"246216","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:00:00","12.200291666852621","kWh","2025","03","01"
"246219","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:00:00","42.28272403658057","kWh","2025","03","01"
"246215","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:00:00","14.655490425636913","kWh","2025","03","01"
"246218","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:00:00","27.157028080833456","kWh","2025","03","01"
"246221","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:00:00","80.32582627911741","kWh","2025","03","01"
"246220","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:00:00","60.55202500445768","kWh","2025","03","01"
"246214","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:00:00","29.406769944490712","kWh","2025","03","01"
"246217","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:00:00","44.899458333705546","kWh","2025","03","01"
"246215","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:15:00","14.665991399043318","kWh","2025","03","01"
"246218","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:15:00","27.399664713703096","kWh","2025","03","01"
"246219","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:15:00","42.66314779677428","kWh","2025","03","01"
"247516","Ohio Stadium","082","HEAT","2025-03-01T05:15:00","196.97481661190457","kWh","2025","03","01"
"246217","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:15:00","45.44929166592502","kWh","2025","03","01"
"246214","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:15:00","30.391774500323613","kWh","2025","03","01"
"246221","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:15:00","80.25545537982757","kWh","2025","03","01"
"246216","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:15:00","12.444799999366513","kWh","2025","03","01"
"246213","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:15:00","21.903937334250656","kWh","2025","03","01"
"246220","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:15:00","62.947141662208985","kWh","2025","03","01"
"246213","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:30:00","21.22131266481864","kWh","2025","03","01"
"246221","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:30:00","80.41007596461722","kWh","2025","03","01"
"247516","Ohio Stadium","082","HEAT","2025-03-01T05:30:00","24.69236495123974","kWh","2025","03","01"
"246217","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:30:00","44.077541833693786","kWh","2025","03","01"
"246216","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:30:00","12.405029166927562","kWh","2025","03","01"
"246218","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:30:00","27.381054581256272","kWh","2025","03","01"
"246215","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:30:00","14.15138495511841","kWh","2025","03","01"
"246219","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:30:00","42.28354176599687","kWh","2025","03","01"
"246220","Ohio Stadium","082","ELECTRICITY","2025-03-01T05:30:00","61.69889583496378","kWh","2025","03","01"
