"meterid","sitename","simscode","utility","readingtime","readingvalue","readingunits","year","month","day"
"284137","Thompson Memorial Library","050","COOLING","2025-03-01T05:00:00",,"kWh","2025","03","01"
"246586","Thompson Memorial Library","050","GAS","2025-03-01T05:00:00","0.0","kWh","2025","03","01"
"249680","Thompson Memorial Library","050","HEAT","2025-03-01T05:00:00","182.93135250283297","kWh","2025","03","01"
"246375","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T05:00:00","5.535108333482252","kWh","2025","03","01"
"246374","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T05:00:00","60.46600000460943","kWh","2025","03","01"
"247288","Thompson Memorial Library","050","COOLING","2025-03-01T05:00:00","85.10988943245471","kWh","2025","03","01"
"246374","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T05:15:00","61.03924999538809","kWh","2025","03","01"
"247288","Thompson Memorial Library","050","COOLING","2025-03-01T05:15:00","83.52728649699782","kWh","2025","03","01"
"284137","Thompson Memorial Library","050","COOLING","2025-03-01T05:15:00",,"kWh","2025","03","01"
"246586","Thompson Memorial Library","050","GAS","2025-03-01T05:15:00","0.0","kWh","2025","03","01"
"249680","Thompson Memorial Library","050","HEAT","2025-03-01T05:15:00","160.1587393609967","kWh","2025","03","01"
"246375","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T05:15:00","5.365258333556509","kWh","2025","03","01"
"249680","Thompson Memorial Library","050","HEAT","2025-03-01T05:30:00","172.26565867688214","kWh","2025","03","01"
"246375","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T05:30:00","5.3848833335757575","kWh","2025","03","01"
"246374","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T05:30:00","61.72445833481848","kWh","2025","03","01"
"247288","Thompson Memorial Library","050","COOLING","2025-03-01T05:30:00","82.3070756205139","kWh","2025","03","01"
"284137","Thompson Memorial Library","050","COOLING","2025-03-01T05:30:00",,"kWh","2025","03","01"
"246586","Thompson Memorial Library","050","GAS","2025-03-01T05:30:00","0.0","kWh","2025","03","01"
"249680","Thompson Memorial Library","050","HEAT","2025-03-01T05:45:00","182.83448276895638","kWh","2025","03","01"
"246375","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T05:45:00","5.46491666605308","kWh","2025","03","01"
"246374","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T05:45:00","61.57512500297278","kWh","2025","03","01"
"246586","Thompson Memorial Library","050","GAS","2025-03-01T05:45:00","0.0","kWh","2025","03","01"
"284137","Thompson Memorial Library","050","COOLING","2025-03-01T05:45:00",,"kWh","2025","03","01"
"247288","Thompson Memorial Library","050","COOLING","2025-03-01T05:45:00","78.60736685440618","kWh","2025","03","01"
"249680","Thompson Memorial Library","050","HEAT","2025-03-01T06:00:00","174.43693379370995","kWh","2025","03","01"
"246586","Thompson Memorial Library","050","GAS","2025-03-01T06:00:00","0.0","kWh","2025","03","01"
"284137","Thompson Memorial Library","050","COOLING","2025-03-01T06:00:00",,"kWh","2025","03","01"
"246375","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T06:00:00","5.659791667279787","kWh","2025","03","01"
"246374","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T06:00:00","61.01056666831175","kWh","2025","03","01"
"247288","Thompson Memorial Library","050","COOLING","2025-03-01T06:00:00","74.57190618026998","kWh","2025","03","01"
"246374","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T06:15:00","61.23979999836534","kWh","2025","03","01"
"246375","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T06:15:00","5.939541666611719","kWh","2025","03","01"
"249680","Thompson Memorial Library","050","HEAT","2025-03-01T06:15:00","175.01811312451633","kWh","2025","03","01"
"246586","Thompson Memorial Library","050","GAS","2025-03-01T06:15:00","0.0","kWh","2025","03","01"
"284137","Thompson Memorial Library","050","COOLING","2025-03-01T06:15:00",,"kWh","2025","03","01"
"247288","Thompson Memorial Library","050","COOLING","2025-03-01T06:15:00","73.67893838377668","kWh","2025","03","01"
"246374","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T06:30:00","61.07521666591987","kWh","2025","03","01"
"246375","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T06:30:00","5.900208333240201","kWh","2025","03","01"
"249680","Thompson Memorial Library","050","HEAT","2025-03-01T06:30:00","180.14664070578056","kWh","2025","03","01"
"246586","Thompson Memorial Library","050","GAS","2025-03-01T06:30:00","0.0","kWh","2025","03","01"
"284137","Thompson Memorial Library","050","COOLING","2025-03-01T06:30:00",,"kWh","2025","03","01"
"247288","Thompson Memorial Library","050","COOLING","2025-03-01T06:30:00","75.69160347270294","kWh","2025","03","01"
"284137","Thompson Memorial Library","050","COOLING","2025-03-01T06:45:00",,"kWh","2025","03","01"
"246375","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T06:45:00","5.800125000278156","kWh","2025","03","01"
"249680","Thompson Memorial Library","050","HEAT","2025-03-01T06:45:00","183.1253752747828","kWh","2025","03","01"
"247288","Thompson Memorial Library","050","COOLING","2025-03-01T06:45:00","75.89464306359535","kWh","2025","03","01"
"246374","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T06:45:00","61.124833329611775","kWh","2025","03","01"
"246586","Thompson Memorial Library","050","GAS","2025-03-01T06:45:00","0.0","kWh","2025","03","01"
"249680","Thompson Memorial Library","050","HEAT","2025-03-01T07:00:00","176.56642675510255","kWh","2025","03","01"
"246586","Thompson Memorial Library","050","GAS","2025-03-01T07:00:00","0.0","kWh","2025","03","01"
"284137","Thompson Memorial Library","050","COOLING","2025-03-01T07:00:00",,"kWh","2025","03","01"
"247288","Thompson Memorial Library","050","COOLING","2025-03-01T07:00:00","67.3564004697605","kWh","2025","03","01"
"246374","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T07:00:00","61.30995833943288","kWh","2025","03","01"
"246375","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T07:00:00","5.51027499977732","kWh","2025","03","01"
"246374","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T07:15:00","61.469491661762206","kWh","2025","03","01"
"246375","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T07:15:00","5.969291666406983","kWh","2025","03","01"
"284137","Thompson Memorial Library","050","COOLING","2025-03-01T07:15:00",,"kWh","2025","03","01"
"246586","Thompson Memorial Library","050","GAS","2025-03-01T07:15:00","0.0","kWh","2025","03","01"
"249680","Thompson Memorial Library","050","HEAT","2025-03-01T07:15:00","170.7729406135131","kWh","2025","03","01"
"247288","Thompson Memorial Library","050","COOLING","2025-03-01T07:15:00","69.44275338400524","kWh","2025","03","01"
"246374","Thompson Memorial Library","050","ELECTRICITY","2025-03-01T07:30:00","63.32317500296979","kWh","2025","03","01"
"246586","Thompson Memorial Library","050","GAS","2025-03-01T07:30:00","0.0","kWh","2025","03","01"
