"meterid","sitename","simscode","utility","readingtime","readingvalue","readingunits","year","month","day"
"246218","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:00:00","24.07067881211328","kWh","2026","03","01"
"246220","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:00:00","48.54902083036801","kWh","2026","03","01"
"246216","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:00:00","56.53276266699035","kWh","2026","03","01"
"246221","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:00:00","56.27687610552336","kWh","2026","03","01"
"246217","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:00:00","25.107025331438827","kWh","2026","03","01"
"246219","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:00:00","39.85978627188597","kWh","2026","03","01"
"246214","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:00:00","38.10427466712892","kWh","2026","03","01"
"247516","Ohio Stadium","082","HEAT","2026-03-01T05:00:00","134.3352017964716","kWh","2026","03","01"
"246213","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:00:00","13.925914054991058","kWh","2026","03","01"
"246215","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:00:00","0.0","kWh","2026","03","01"
"246216","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:15:00","54.90281822221664","kWh","2026","03","01"
"246214","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:15:00","36.700625332573736","kWh","2026","03","01"
"246218","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:15:00","23.96494710401787","kWh","2026","03","01"
"246213","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:15:00","14.175247388323768","kWh","2026","03","01"
"246217","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:15:00","24.151047222871952","kWh","2026","03","01"
"246215","Ohio Stadium","082","ELECTRICITY","2026-03-01T05:15:00","0.0","kWh","2026","03","01"
"247516","Ohio Stadium","082","HEAT","2026-03-01T05:15:00","133.86782520120008","kWh","2026","03","01"
