"meterid","sitename","simscode","utility","readingtime","readingvalue","readingunits","year","month","day"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T05:00:00","21.875830721842746","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T05:00:00","29.93129044632893","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T05:00:00","77.55212559122157","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T05:00:00","158.82177137909574","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T05:00:00","0.0","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T05:15:00","142.20670997791274","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T05:15:00","28.27688144525358","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T05:15:00","0.0","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T05:15:00","76.14698701335043","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T05:15:00","21.926080720728883","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T05:30:00","75.02383147972293","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T05:30:00","132.11958917243683","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T05:30:00","28.748247554013503","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T05:30:00","0.0","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T05:30:00","21.050752779074635","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T05:45:00","28.80091633320165","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T05:45:00","21.397835778354978","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T05:45:00","167.31788422717335","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T05:45:00","0.0","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T05:45:00","75.61017537290778","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T06:00:00","0.0","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T06:00:00","158.7879904732099","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T06:00:00","27.952789222206924","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T06:00:00","86.54114399725407","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T06:00:00","21.078202777163433","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T06:15:00","96.52135126520878","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T06:15:00","20.374714220777776","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T06:15:00","181.53438733664294","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T06:15:00","27.596469778424748","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T06:15:00","0.0","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T06:30:00","234.17882254827293","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T06:30:00","29.200614611036144","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T06:30:00","0.0","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T06:30:00","94.90576141544109","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T06:30:00","20.20187016956198","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T06:45:00","93.72704297393496","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T06:45:00","20.2982131637726","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T06:45:00","146.08453573028606","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T06:45:00","0.0","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T06:45:00","28.298629832297255","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T07:00:00","20.549788889811996","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T07:00:00","0.0","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T07:00:00","220.97806505804374","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T07:00:00","32.14345783484323","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T07:00:00","93.0194654729507","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T07:15:00","20.30195488992613","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T07:15:00","31.106113721937874","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T07:15:00","93.60034531980001","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T07:15:00","0.0","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T07:15:00","174.13489842418835","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T07:30:00","26.8067143877456","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T07:30:00","187.67790085303034","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T07:30:00","0.0","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T07:30:00","94.60584562512312","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T07:30:00","20.423919777354847","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T07:45:00","25.652294612214902","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T07:45:00","215.1597201506364","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T07:45:00","0.0","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T07:45:00","94.4913525570738","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T07:45:00","20.62400310994436","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T08:00:00","26.672916499638617","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T08:00:00","20.824788890186074","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T08:00:00","91.79170974264048","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T08:00:00","0.0","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T08:00:00","144.4389545915879","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T08:15:00","0.0","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T08:15:00","93.07416870564226","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T08:15:00","167.22299696620468","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T08:15:00","20.22762155733692","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T08:15:00","25.378996722690452","kWh","2026","03","01"
"247556","Scott House","1108","HEAT","2026-03-01T08:30:00","94.5432392454367","kWh","2026","03","01"
"246338","Scott House","1108","ELECTRICITY","2026-03-01T08:30:00","20.248961442347305","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T08:30:00","0.0","kWh","2026","03","01"
"246337","Scott House","1108","ELECTRICITY","2026-03-01T08:30:00","23.875254499207564","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T08:30:00","197.62750616371181","kWh","2026","03","01"
"246576","Scott House","1108","GAS","2026-03-01T08:45:00","159.59860134265298","kWh","2026","03","01"
"247280","Scott House","1108","COOLING","2026-03-01T08:45:00","0.0","kWh","2026","03","01"
