"meterid","sitename","simscode","utility","readingtime","readingvalue","readingunits","year","month","day"
"246215","Ohio Stadium","082","ELECTRICITY","2024-09-01T05:00:00","15.160404085419723","kWh","2024","09","01"
"246214","Ohio Stadium","082","ELECTRICITY","2024-09-01T05:00:00","23.56146875041692","kWh","2024","09","01"
"246216","Ohio Stadium","082","ELECTRICITY","2024-09-01T05:00:00","33.14320661179721","kWh","2024","09","01"
"246218","Ohio Stadium","082","ELECTRICITY","2024-09-01T05:00:00","43.12192393382779","kWh","2024","09","01"
"246220","Ohio Stadium","082","ELECTRICITY","2024-09-01T05:00:00","60.500416666666666","kWh","2024","09","01"
"246217","Ohio Stadium","082","ELECTRICITY","2024-09-01T05:00:00","49.56545502715473","kWh","2024","09","01"
"247516","Ohio Stadium","082","HEAT","2024-09-01T05:00:00","0.0","kWh","2024","09","01"
"246219","Ohio Stadium","082","ELECTRICITY","2024-09-01T05:00:00","73.82639080295883","kWh","2024","09","01"
"246213","Ohio Stadium","082","ELECTRICITY","2024-09-01T05:00:00","18.400395833704774","kWh","2024","09","01"
"246221","Ohio Stadium","082","ELECTRICITY","2024-09-01T05:00:00","135.82879782525436","kWh","2024","09","01"
"247516","Ohio Stadium","082","HEAT","2024-09-01T06:00:00","0.0","kWh","2024","09","01"
"246216","Ohio Stadium","082","ELECTRICITY","2024-09-01T06:00:00","33.37807011070661","kWh","2024","09","01"
"246217","Ohio Stadium","082","ELECTRICITY","2024-09-01T06:00:00","48.74746683180254","kWh","2024","09","01"
"246218","Ohio Stadium","082","ELECTRICITY","2024-09-01T06:00:00","42.99449164984282","kWh","2024","09","01"
"246221","Ohio Stadium","082","ELECTRICITY","2024-09-01T06:00:00","135.75203740388932","kWh","2024","09","01"
"246214","Ohio Stadium","082","ELECTRICITY","2024-09-01T06:00:00","22.97052099954725","kWh","2024","09","01"
"246220","Ohio Stadium","082","ELECTRICITY","2024-09-01T06:00:00","60.799666663693884","kWh","2024","09","01"
"246213","Ohio Stadium","082","ELECTRICITY","2024-09-01T06:00:00","18.17149983256124","kWh","2024","09","01"
"246219","Ohio Stadium","082","ELECTRICITY","2024-09-01T06:00:00","73.31167551394861","kWh","2024","09","01"
"246215","Ohio Stadium","082","ELECTRICITY","2024-09-01T06:00:00","13.915082168154573","kWh","2024","09","01"
"246213","Ohio Stadium","082","ELECTRICITY","2024-09-01T07:00:00","18.174750000742886","kWh","2024","09","01"
"246218","Ohio Stadium","082","ELECTRICITY","2024-09-01T07:00:00","42.806918906520586","kWh","2024","09","01"
"246214","Ohio Stadium","082","ELECTRICITY","2024-09-01T07:00:00","24.68697272095441","kWh","2024","09","01"
"246220","Ohio Stadium","082","ELECTRICITY","2024-09-01T07:00:00","60.02637499851485","kWh","2024","09","01"
"247516","Ohio Stadium","082","HEAT","2024-09-01T07:00:00","0.0","kWh","2024","09","01"
"246217","Ohio Stadium","082","ELECTRICITY","2024-09-01T07:00:00","48.01975783489877","kWh","2024","09","01"
"246219","Ohio Stadium","082","ELECTRICITY","2024-09-01T07:00:00","72.57202582255472","kWh","2024","09","01"
"246215","Ohio Stadium","082","ELECTRICITY","2024-09-01T07:00:00","15.007399375115057","kWh","2024","09","01"
"246216","Ohio Stadium","082","ELECTRICITY","2024-09-01T07:00:00","33.39837744501885","kWh","2024","09","01"
